Облигации,Тикер,07.2020,08.2020,09.2020,10.2020,11.2020,12.2020,01.2021,02.2021,03.2021,04.2021,05.2021,06.2021,07.2021,08.2021,09.2021,10.2021,11.2021,12.2021,01.2022,02.2022,03.2022,04.2022,05.2022,06.2022,07.2022,08.2022,09.2022,10.2022,11.2022,12.2022,01.2023,02.2023,03.2023,04.2023,05.2023,06.2023,07.2023,08.2023,09.2023,10.2023,11.2023,12.2023,01.2024,02.2024,03.2024,04.2024,05.2024,06.2024,07.2024
Гор.Обл.Займ Москвы 48 в.,RU000A0JNYN1,,,,,,30.08,,,,,,30.08,,,,,,30.08,,,,,,30.08,,,,,,,,,,,,,,,,,,,,,,,,,
"""Российские ЖД"" ОАО 19 обл.",RU000A0JQ7Z2,,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,
Мечел ПАО 04 обл.,RU000A0JQ8V9,,,,3.99,,,3.99,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОМ.РФ (АО) обл. сер. А14,RU000A0JQAL8,,,,,40.33,,,,,,40.33,,,,,,40.33,,,,,,40.33,,,,,,40.33,,,,,,40.33,,,,,,,,,,,,,,
ДОМ.РФ (АО) обл. сер. А15,RU000A0JQAM6,,,42.85,,,,,,42.85,,,,,,42.85,,,,,,42.85,,,,,,42.85,,,,,,42.85,,,,,,42.85,,,,,,42.85,,,,
"""Российские ЖД"" ОАО 23 обл.",RU000A0JQRD9,,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14,,,,,,39.14
ДОМ.РФ (АО) обл. сер. А16,RU000A0JQXG0,,,5.20,,,5.20,,,5.20,,,5.20,,,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.06",RU000A0JR1Y7,,,41.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.07",RU000A0JR1Z4,,,,37.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.08",RU000A0JR209,,,41.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.10",RU000A0JR217,,,38.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЭБ.РФ об. сер. 08,RU000A0JR3G0,,,,48.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЭБ.РФ об. сер. 06,RU000A0JR3H8,,,,41.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.11",RU000A0JR3L0,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.09",RU000A0JR3M8,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мобильные ТелеСистемы ПАО об 8,RU000A0JR4J2,,,,,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Главная дорога АО об.сер. 03,RU000A0JR4U9,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,
ДОМ.РФ (АО) обл. сер.А17,RU000A0JR5F7,,,,7.98,,,7.98,,,7.98,,,7.98,,,7.98,,,7.98,,,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОМ.РФ (АО) обл. сер.А20,RU000A0JR6S8,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,,,8.67,
Газпром нефть ПАО 10 об,RU000A0JR878,37.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мечел ПАО 15 обл.,RU000A0JR8L9,,39.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мечел ПАО 16 обл.,RU000A0JR8P0,,39.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЭБ.РФ об. сер. 09,RU000A0JRCX7,,,44.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОМ.РФ (АО) обл. сер.А18,RU000A0JRDY3,,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,7.76,,,,,,,,,,,,
ВЭБ-лизинг АО об. 03,RU000A0JREW5,,,,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЭБ-лизинг АО об. 04,RU000A0JREX3,,,,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЭБ-лизинг АО об. 05,RU000A0JREZ8,,,,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РУСАЛ Братский алюм. з-д об 08,RU000A0JRF11,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РусГидро (ПАО) 01,RU000A0JRFN1,,,,47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РусГидро (ПАО) 02,RU000A0JRFP6,,,,47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акрон (ПАО) об. сер. 04,RU000A0JRHF3,,,,,32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акрон (ПАО) об. сер. 05,RU000A0JRHG1,,,,,32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Запад.скор.диаметр АО об.01,RU000A0JRJB8,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,
Волга-Спорт АО обл. 01,RU000A0JRJC6,,79.02,,,,,,,,,,,,79.02,,,,,,,,79.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Запад.скор.диаметр АО об.02,RU000A0JRJL7,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,
Мечел ПАО 17 обл.,RU000A0JRJS2,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мечел ПАО 18 обл.,RU000A0JRJT0,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ННК АО 04,RU000A0JRJV6,,,,,,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мечел ПАО 19 обл.,RU000A0JRJY0,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ННК АО 06,RU000A0JRK22,,,,,,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 01,RU000A0JRKC4,,,,,,42.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 02,RU000A0JRKD2,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 03,RU000A0JRKM3,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.13",RU000A0JRL96,,,,,,42.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.14",RU000A0JRLE8,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.12",RU000A0JRMB2,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.13",RU000A0JRMC0,,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
