Облигации,Тикер,07.2020,08.2020,09.2020,10.2020,11.2020,12.2020,01.2021,02.2021,03.2021,04.2021,05.2021,06.2021,07.2021,08.2021,09.2021,10.2021,11.2021,12.2021,01.2022,02.2022,03.2022,04.2022,05.2022,06.2022,07.2022,08.2022,09.2022,10.2022,11.2022,12.2022,01.2023,02.2023,03.2023,04.2023,05.2023,06.2023,07.2023,08.2023,09.2023,10.2023,11.2023,12.2023,01.2024,02.2024,03.2024,04.2024,05.2024,06.2024,07.2024
КОБР-33,RU000A101MQ3,,12.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КОБР-34,RU000A101R74,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КОБР-35,RU000A101UM5,,,,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПК 24020 27/07/22,SU24020RMFS8,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПК 24021 24/04/24,SU24021RMFS6,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,
ОФЗ-ПД 25083 15/12/21,SU25083RMFS5,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПД 25084 04/10/23,SU25084RMFS3,,,,33.54,,,,,,,33.54,,,,,,,,33.54,,,,,,,33.54,,,,,,,,33.54,,,,,,33.54,,,,,,,,,
ОФЗ-ПД 26205 14/04/21,SU26205RMFS3,,,,37.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПД 26207 03/02/27,SU26207RMFS9,,40.64,,,,,,40.64,,,,,,40.64,,,,,,40.64,,,,,,40.64,,,,,,40.64,,,,,,40.64,,,,,,40.64,,,,,
